year,放牧小区（plot）,放牧强度（intensity）,SOC土壤有机碳,SIC土壤无机碳,STC土壤全碳,全氮N,土壤C/N比
2012,G11,MGI,14.2261673569679,6.7125,20.938667356967898,1.74977067857981,12.481756683321489
2012,G12,LGI,12.46928615172705,10.491666666666664,22.9609528183937,1.648516040295365,14.458515647588602
2012,G13,HGI,12.164091777801525,11.55,23.71409177780155,1.378941610455515,17.394694613097947
2012,G16,MGI,11.638730871677382,8.95,20.5887308716774,1.698385514318945,12.38359118349098
2012,G17,NG,13.97354363203045,10.95,24.92354363203045,1.6590759716928,16.0129283545676
2012,G18,LGI,12.021939885616316,8.925,20.946939885616302,1.53722837567329,13.98001576650915
2012,G19,NG,14.9205165108045,11.04166666666665,25.96218317747115,1.429206058382989,18.991705064656053
2012,G20,HGI,13.066347766240433,10.84966666666665,23.916014432907097,1.75276393070817,14.245073006868601
2012,G21,NG,11.99269786675769,9.925,21.9176978667577,1.49884643033147,15.64497553187385
2012,G6,LGI,14.3274323940277,13.95833333333335,28.285765727361,1.895495802164075,15.1997829025259
2012,G8,MGI,13.677481174469001,9.541666666666664,23.21914784113565,1.763730868697165,13.41229513946
2012,G9,HGI,13.4745335539182,11.875,25.3495335539182,1.648023203015325,17.020658860617303
2014,G11,MGI,14.98489907979965,7.9,22.884899079799652,1.7532166093587902,13.57317607115435
2014,G12,LGI,14.48135557174685,9.975000000000001,24.456355571746847,1.719360128045085,14.564787681556151
2014,G13,HGI,12.9267883300781,8.125,21.0517883300781,1.657668463885785,13.352373972316016
2014,G16,MGI,12.44626766443252,11.5,23.946267664432497,1.4003046602010725,17.7941215171551
2014,G17,NG,13.74709560871125,11.1,24.8470956087113,1.6410508565604651,15.823591185162702
2014,G18,LGI,13.6339701652527,12.35,25.9839701652527,1.72568140551448,15.418518234555648
2014,G19,NG,15.735175609588651,7.5,23.2351756095886,1.7001845687627801,14.10361217007835
2014,G20,HGI,16.363304352760302,11.775,28.1383043527603,1.750125102698805,16.6561094551089
2014,G21,NG,14.11348984241485,8.899999999999999,23.01348984241485,1.6820009797811548,14.19463296494865
2014,G6,LGI,14.60923766708375,9.3915,24.000737667083747,1.65061941370368,15.370424689521249
2014,G8,MGI,14.968442058563202,7.15,22.1184420585632,1.6947802901268,13.509831338850951
2014,G9,HGI,12.735764467716216,9.600000000000001,22.3357644677162,1.374505069106815,16.69590039210555
2016,G11,MGI,13.270260547531967,5.484444444444443,18.7547049919764,1.7399099717537567,11.22309163228626
2016,G12,LGI,15.418320771853132,5.295000000000001,20.713320771853134,1.8405735741058968,11.820230564972784
2016,G13,HGI,15.9681517680486,5.333333333333333,21.30148510138193,1.8826451897621135,11.844474236871896
2016,G16,MGI,15.845344376564,8.216666666666667,24.0620110432307,1.6098488122224792,16.5000214233006
2016,G17,NG,15.6790230035782,7.983333333333333,23.662356336911532,1.8133175745606434,14.102623598435843
2016,G18,LGI,16.6246992482079,7.694444444444433,24.319143692652364,1.89906028409799,13.570944000764205
2016,G19,NG,14.618970703548866,6.675555555555557,21.294526259104398,1.8037977317968998,12.600770237803848
2016,G20,HGI,14.28422974480523,7.727777777777777,22.012007522583033,1.9189006835222233,12.394790883918256
2016,G21,NG,15.834894990921034,6.233333333333333,22.068228324254367,1.8550742790102968,12.888814736974716
2016,G6,LGI,14.317465575536099,6.3,20.6174655755361,1.8120707819859165,12.143385053896589
2016,G8,MGI,14.028018879890434,6.7,20.728018879890435,1.8334182600180267,11.945594638077312
2016,G9,HGI,14.502588041623447,7.783333333333334,22.285921374956768,1.8366412942608201,12.799613004302683
2018,G11,MGI,15.1643074274063,4.3,19.4643074274063,1.9239078710476567,10.399164411673807
2018,G12,LGI,14.9193203449249,6.25,21.1693203449249,1.8556695307294533,11.9100425796488
2018,G13,HGI,15.033399240175902,5.6499999999999995,20.683399240175902,1.9067321469386433,11.251682153841493
2018,G16,MGI,13.318077294031768,10.866666666666667,24.18474396069843,1.6505278274416897,15.753514729855501
2018,G17,NG,15.763243913650498,7.833333333333333,23.59657724698383,1.9713207582632701,12.85851378641596
2018,G18,LGI,17.091614818573,8.733333333333333,25.82494815190633,2.069110721349713,13.305531182110721
2018,G19,NG,17.1121432940165,5.566666666666666,22.678809960683168,2.017753894130387,11.782797336522043
2018,G20,HGI,16.044890077908832,6.466666666666666,22.5115567445755,1.9539361571272231,12.07821959149417
2018,G21,NG,18.032859659194965,5.733333333333333,23.7661929925283,2.1854363630215334,11.483865143001282
2018,G6,LGI,14.799450160631167,5.5,20.299450160631167,1.9300545255343098,10.994638526277557
