time,10cm湿度(kg/m2),40cm湿度(kg/m2),100cm湿度(kg/m2),200cm湿度(kg/m2),土壤蒸发量(mm),降水量(mm),平均气温(℃)
2012-01-01,0.3282504012841092,0.036261331666145646,0.008416519866901506,1.0,0.008720184662734037,0.0025678691171688406,0.008069522036002419
2012-02-01,0.2696629213483146,0.036261331666145646,0.008416519866901506,1.0,0.015132085150038475,0.0025678691171688406,0.11318021932547068
2012-03-01,0.2375601926163724,0.036261331666145646,0.008416519866901506,1.0,0.04206206719671711,0.02449007053230021,0.33560935236912887
2012-04-01,0.1869983948635634,0.03188496405126595,0.00782932080641996,1.0,0.177737881508079,0.006840175377611322,0.6263190564866542
2012-05-01,0.3643659711075442,0.008752735229759168,0.004306126443531011,1.0,0.45729674275455257,0.05696408347256642,0.7850196565280364
2012-06-01,0.7736757624398074,0.3066583307283526,0.012722646310432517,1.0,0.8530392408309825,0.11079962771504505,0.8487481895303124
2012-07-01,0.8025682182985554,0.8052516411378554,0.2454492072812684,0.992647058823529,0.800461656835086,0.20564258401641647,0.9201324229257191
2012-08-01,0.4911717495987158,0.47608627696155037,0.3697396750831865,0.970588235294116,0.35906642728904853,0.06978100225389386,0.8938547486033519
2012-09-01,0.6003210272873194,0.4989059080962801,0.25308279506752784,0.955882352941174,0.33572710951526036,0.07035288576907121,0.7500517277053589
2012-10-01,0.4333868378812198,0.39949984370115654,0.2413388138578978,0.9436274509803937,0.20159015132085153,0.018513327128584087,0.5721084212704324
2012-11-01,0.413322632423756,0.4063769928102532,0.24779800352319437,0.941176470588232,0.01667094126699154,0.034178450083539855,0.2876060417959859
2012-12-01,0.3836276083467094,0.4063769928102532,0.24779800352319437,0.941176470588232,0.0017953321364452433,0.006268291862433982,0.06021104903786462
2013-01-01,0.3571428571428572,0.4063769928102532,0.24779800352319437,0.941176470588232,0.0033341882533983085,0.0037004227452651414,0.07945375543140909
2013-02-01,0.3138041733547352,0.4063769928102532,0.24779800352319437,0.941176470588232,0.013080276994101053,0.0031285392300878017,0.13780260707635
2013-03-01,0.2576243980738362,0.40606439512347614,0.24779800352319437,0.941176470588232,0.07950756604257503,0.010249049664158605,0.39437202565694185
2013-04-01,0.1749598715890851,0.40293841825570476,0.24662360540223127,0.941176470588232,0.1210566812003078,0.021933414817389744,0.5255534864473411
2013-05-01,0.2479935794542536,0.3422944670209438,0.22939909962810723,0.941176470588232,0.31238779174147224,0.012536583724867965,0.8154355472791226
2013-06-01,0.7712680577849116,0.5917474210690841,0.22939909962810723,0.9338235294117609,0.9815337265965633,0.07348142499915901,0.8700600041382164
2013-07-01,0.8587479935794542,0.7793060331353547,0.40223135642982966,0.9166666666666643,1.0,0.11364783188867336,0.925098282640182
2013-08-01,0.6396468699839486,0.5745545482963426,0.3638676844783715,0.8897058823529491,0.550397537830213,0.07632962917278732,0.8973722325677633
2013-09-01,0.3892455858747994,0.26758361988121293,0.25308279506752784,0.8725490196078454,0.23698384201077202,0.008264277464425483,0.76536312849162
2013-10-01,0.3146067415730338,0.17567989996874012,0.20493247210804455,0.8627450980392197,0.14439599897409594,0.006268291862433982,0.5820401406993585
2013-11-01,0.1829855537720706,0.17255392310096895,0.20336660794676065,0.8553921568627487,0.045139779430623236,0.003991971203983001,0.38775087937099106
2013-12-01,0.1075441412520064,0.1722413254141919,0.20356234096692116,0.8529411764705941,0.0033341882533983085,0.005124524832079302,0.18704738257810882
2014-01-01,0.0730337078651686,0.1722413254141919,0.20356234096692116,0.8529411764705941,0.010259040779687104,0.03445878513999934,0.22036002482929856
2014-02-01,0.026484751203852408,0.1722413254141919,0.20356234096692116,0.8529411764705941,0.0038471402923826612,0.002848204173628321,0.23029174425822468
2014-03-01,0.346709470304976,0.20256330103157216,0.20336660794676065,0.8529411764705941,0.36393947165939994,0.002848204173628321,0.462652596730809
2014-04-01,0.4703049759229534,0.39449828071272264,0.19964768056371107,0.8529411764705941,0.5091048986919724,0.006548626918893463,0.6819780674529278
2014-05-01,0.5690208667736758,0.3832447639887464,0.19338422391857502,0.8529411764705941,0.6417030007694281,0.07006133731035334,0.7376370784192012
2014-06-01,0.6942215088282504,0.6239449828071271,0.22568017224505765,0.8431372549019613,0.7330084637086434,0.07405330851433635,0.8636457686737016
2014-07-01,0.56661316211878,0.46764613941856825,0.2540614601683304,0.8333333333333357,0.58656065657861,0.07120510434070802,0.9435133457479825
2014-08-01,0.4181380417335474,0.18193185370428244,0.13681738109219033,0.8210784313725554,0.27699410105155176,0.031330245909911535,0.8907510862818124
2014-09-01,0.2568218298555376,0.0,0.05695830886670583,0.8112745098039227,0.12952038984354966,0.02620572107783223,0.7610180012414649
2014-10-01,0.4285714285714286,0.12597686777117856,0.040712468193384144,0.801470588235297,0.21877404462682742,0.03845075634398233,0.60604179598593
2014-11-01,0.3274478330658106,0.1900593935604875,0.04227833235466827,0.794117647058826,0.09310079507566044,0.00114376703035468,0.39519966894268566
2014-12-01,0.1677367576243981,0.19068458893404183,0.04227833235466827,0.794117647058826,0.011797896896640167,0.0059767434037161235,0.18104696875646592
2015-01-01,0.12279293739967889,0.19068458893404183,0.04227833235466827,0.794117647058826,0.004873044370351374,0.17174446898933607,0.18642665011380094
2015-02-01,0.0906902086677367,0.19068458893404183,0.04227833235466827,0.794117647058826,0.00743780456527315,0.03902263985915967,0.24849989654458923
2015-03-01,0.0232744783306581,0.1900593935604875,0.04227833235466827,0.794117647058826,0.032572454475506545,0.00057188351517734,0.44009931719428924
2015-04-01,0.455056179775281,0.18505783057205383,0.041495400274026206,0.794117647058826,0.31726083611182365,0.04101862546115117,0.6192840885578316
2015-05-01,0.3940609951845908,0.15629884338855882,0.03738500685065582,0.794117647058826,0.4049756347781483,0.051548010181769265,0.744672046348024
2015-06-01,0.5762439807383628,0.30259456080025005,0.03562340966921118,0.7892156862745097,0.5455244934598615,0.1603516522948228,0.8365404510655907
