year,放牧强度（intensity）,放牧小区（plot）,SOC土壤有机碳,SIC土壤无机碳,STC土壤全碳,全氮N,土壤C/N比
2012,HGI,G13,12.164091777801524,11.55,23.71409177780155,1.378941610455515,17.394694613097947
2012,HGI,G20,13.066347766240431,10.84966666666665,23.916014432907097,1.75276393070817,14.2450730068686
2012,HGI,G9,13.4745335539182,11.875,25.3495335539182,1.648023203015325,17.020658860617303
2012,LGI,G12,12.46928615172705,10.491666666666664,22.9609528183937,1.648516040295365,14.458515647588602
2012,LGI,G18,12.021939885616316,8.925,20.946939885616302,1.53722837567329,13.98001576650915
2012,LGI,G6,14.3274323940277,13.95833333333335,28.285765727361,1.895495802164075,15.1997829025259
2012,MGI,G11,14.2261673569679,6.7125,20.938667356967898,1.74977067857981,12.481756683321487
2012,MGI,G16,11.638730871677382,8.95,20.5887308716774,1.698385514318945,12.38359118349098
2012,MGI,G8,13.677481174469,9.541666666666664,23.21914784113565,1.763730868697165,13.41229513946
2012,NG,G17,13.97354363203045,10.95,24.92354363203045,1.6590759716928,16.0129283545676
2012,NG,G19,14.9205165108045,11.04166666666665,25.96218317747115,1.429206058382989,18.991705064656053
2012,NG,G21,11.99269786675769,9.925,21.9176978667577,1.49884643033147,15.64497553187385
2014,HGI,G13,12.9267883300781,8.125,21.0517883300781,1.657668463885785,13.352373972316016
2014,HGI,G20,16.363304352760302,11.775,28.1383043527603,1.750125102698805,16.6561094551089
2014,HGI,G9,12.735764467716216,9.6,22.3357644677162,1.374505069106815,16.69590039210555
2014,LGI,G12,14.48135557174685,9.975,24.456355571746847,1.719360128045085,14.564787681556153
2014,LGI,G18,13.6339701652527,12.35,25.9839701652527,1.72568140551448,15.418518234555648
2014,LGI,G6,14.60923766708375,9.3915,24.000737667083747,1.65061941370368,15.370424689521249
2014,MGI,G11,14.98489907979965,7.9,22.88489907979965,1.7532166093587902,13.57317607115435
2014,MGI,G16,12.44626766443252,11.5,23.946267664432497,1.4003046602010725,17.7941215171551
2014,MGI,G8,14.968442058563202,7.15,22.1184420585632,1.6947802901268,13.509831338850953
2014,NG,G17,13.74709560871125,11.1,24.8470956087113,1.6410508565604651,15.823591185162702
2014,NG,G19,15.735175609588651,7.5,23.2351756095886,1.70018456876278,14.10361217007835
2014,NG,G21,14.11348984241485,8.899999999999999,23.01348984241485,1.6820009797811548,14.19463296494865
2016,HGI,G13,15.9681517680486,5.333333333333333,21.30148510138193,1.8826451897621133,11.844474236871896
2016,HGI,G20,14.28422974480523,7.727777777777777,22.012007522583037,1.9189006835222235,12.394790883918256
2016,HGI,G9,14.502588041623447,7.783333333333334,22.285921374956768,1.83664129426082,12.799613004302683
2016,LGI,G12,15.418320771853132,5.295000000000001,20.71332077185313,1.8405735741058968,11.820230564972784
2016,LGI,G18,16.6246992482079,7.694444444444433,24.319143692652364,1.89906028409799,13.570944000764204
2016,LGI,G6,14.3174655755361,6.3,20.6174655755361,1.8120707819859163,12.143385053896589
2016,MGI,G11,13.270260547531969,5.484444444444443,18.7547049919764,1.7399099717537567,11.22309163228626
2016,MGI,G16,15.845344376564,8.216666666666667,24.0620110432307,1.6098488122224792,16.5000214233006
2016,MGI,G8,14.028018879890434,6.7,20.728018879890435,1.8334182600180269,11.945594638077312
2016,NG,G17,15.6790230035782,7.983333333333333,23.66235633691153,1.8133175745606436,14.102623598435844
2016,NG,G19,14.618970703548866,6.675555555555557,21.2945262591044,1.8037977317969,12.600770237803848
2016,NG,G21,15.834894990921034,6.233333333333333,22.068228324254367,1.8550742790102968,12.888814736974716
2018,HGI,G13,15.033399240175902,5.65,20.683399240175905,1.9067321469386436,11.251682153841491
2018,HGI,G20,16.044890077908832,6.466666666666666,22.5115567445755,1.9539361571272231,12.07821959149417
2018,HGI,G9,15.855964112281802,4.7,20.5559641122818,1.9773648679256437,10.667015678995872
2018,LGI,G12,14.9193203449249,6.25,21.1693203449249,1.8556695307294533,11.9100425796488
2018,LGI,G18,17.091614818573,8.733333333333333,25.82494815190633,2.069110721349713,13.30553118211072
2018,LGI,G6,14.799450160631167,5.5,20.299450160631167,1.9300545255343096,10.994638526277557
2018,MGI,G11,15.1643074274063,4.3,19.4643074274063,1.9239078710476567,10.399164411673809
2018,MGI,G16,13.318077294031768,10.866666666666667,24.18474396069843,1.6505278274416897,15.7535147298555
2018,MGI,G8,14.5813936948776,2.8166666666666664,17.398060361544267,1.8654495974381768,9.564031678359456
2018,NG,G17,15.763243913650498,7.833333333333333,23.59657724698383,1.97132075826327,12.85851378641596
2018,NG,G19,17.1121432940165,5.566666666666666,22.678809960683168,2.017753894130387,11.782797336522044
2018,NG,G21,18.032859659194965,5.733333333333333,23.7661929925283,2.185436363021533,11.483865143001282
2020,HGI,G13,16.6919,3.5647,20.2566,2.10285,9.632926742278336
2020,HGI,G20,15.9696,4.65705,20.62665,2.0546,10.039253382653555
2020,HGI,G9,17.2,3.12215,20.32215,2.23695,9.084758264601351
2020,LGI,G12,16.1858,3.8029,19.9887,1.9448,10.278023447141097
2020,LGI,G18,19.306,7.2073,26.5133,2.25715,11.746361562146957
2020,LGI,G6,14.78965,3.0012,17.79085,2.0165,8.82263823456484
2020,MGI,G11,14.74435,3.3536,18.09795,1.96145,9.22682199393306
2020,MGI,G16,14.777,9.81945,24.59645,1.71225,14.364987589429116
2020,MGI,G8,14.4421,1.8855,16.3276,1.94105,8.411735916127869
2020,NG,G17,16.8583,6.08675,22.94505,2.1152,10.8476976172466
2020,NG,G19,17.2985,4.30145,21.59995,2.1980500000000003,9.826869270489752
2020,NG,G21,20.1335,4.0649,24.1984,2.43115,9.953478806326226
2022,HGI,G13,16.97049903869629,3.0215139389038086,20.02080726623535,2.1466124057769775,8.775727272033691
2022,HGI,G20,16.54765510559082,3.9840171337127686,20.495800018310547,2.1213207244873047,9.301704406738281
2022,HGI,G9,17.42307472229004,2.317209243774414,19.897138595581055,2.2897844314575195,7.964914798736572
2022,LGI,G12,16.44349479675293,2.9489970207214355,19.389453887939453,2.0249361991882324,9.251485824584961
2022,LGI,G18,19.495393753051758,6.3331098556518555,25.66335678100586,2.328237533569336,10.940656661987305
2022,LGI,G6,15.483122825622559,2.2052226066589355,17.616731643676758,2.0840530395507812,7.868435859680176
2022,MGI,G11,16.050493240356445,2.030118942260742,18.229888916015625,2.0759470462799072,8.082951545715332
2022,MGI,G16,16.077922821044922,7.229803085327148,23.174463272094727,1.861235499382019,13.667057037353516
2022,MGI,G8,15.531707763671875,1.3308247327804565,16.91670036315918,2.0592548847198486,7.570693016052246
2022,NG,G17,17.193599700927734,5.403522491455078,22.269760131835938,2.1500866413116455,10.431778907775879
2022,NG,G19,17.59425926208496,3.4586615562438965,21.023286819458008,2.178889513015747,9.346397399902344
2022,NG,G21,18.736064910888672,3.6488029956817627,22.372289657592773,2.3109123706817627,9.305499076843262
