time,100cm湿度(kg/m2),10cm湿度(kg/m2),200cm湿度(kg/m2),40cm湿度(kg/m2),month,year,土壤蒸发量(mm),平均气温(℃),降水量(mm)
2012-01-01,-0.8676516582330353,-0.2951978378556496,1.3788945881001324,-1.546133054174414,1,0,-0.9540003565606384,-1.8503810446545983,-0.551176743204984
2012-02-01,-0.8676516582330353,-0.5524359382153051,1.3788945881001324,-1.546133054174414,2,0,-0.9282507375410646,-1.4932549710784706,-0.551176743204984
2012-03-01,-0.8676516582330353,-0.6933883219740204,1.3788945881001324,-1.546133054174414,3,0,-0.8201023376588547,-0.7375255830974905,-0.4139753764007214
2012-04-01,-0.8697239002372165,-0.9153883263939966,1.3788945881001324,-1.5649341439152418,4,0,-0.2752403992046733,0.2501951518916045,-0.5244382671167876
2012-05-01,-0.8821573522623033,-0.1366264061270952,1.3788945881001324,-1.6643113325453311,5,0,0.8474429900487439,0.7893992826650107,-0.2107348862395223
2012-06-01,-0.8524552168690402,1.6605164867965247,1.3788945881001324,-0.3844942951875646,6,0,2.436709475936838,1.005924539872585,0.1261979843626591
2012-07-01,-0.03115663587858218,1.7873736321793685,1.3480556219198203,1.7574870002852956,7,0,2.225562599976333,1.2484609481083409,0.7197781175751669
2012-08-01,0.4074679216730923,0.4201355097198301,1.2555387233788846,0.343376464778761,8,0,0.4529588266688733,1.1591794297143092,-0.13051945797493295
2012-09-01,-0.004217489824227338,0.8993736144994623,1.1938607910182606,0.4414107184273627,9,0,0.35923021343762473,0.6705915928335823,-0.12694029188438696
2012-10-01,-0.04566232990785021,0.1664212189541424,1.1424625140510931,0.014357394314278274,10,0,-0.17945181645185876,0.0660080824487982,-0.4513811710332902
2012-11-01,-0.022867667861857312,0.07832597910494536,1.1321828586576366,0.043901963907007235,11,0,-0.9220708289763668,-0.9006225300850135,-0.3533400920432366
2012-12-01,-0.022867667861857312,-0.05205497587186597,1.1321828586576366,0.043901963907007235,12,0,-0.981809945101778,-1.6732240160302203,-0.5280174332073335
2013-01-01,-0.022867667861857312,-0.16834069247280609,1.1321828586576366,0.043901963907007235,1,1,-0.9756300365370802,-1.607844636418842,-0.5440885907511577
2013-02-01,-0.022867667861857312,-0.3586264105470713,1.1321828586576366,0.043901963907007235,2,1,-0.9364906156273284,-1.4095974853391808,-0.5476677568417035
2013-03-01,-0.022867667861857312,-0.6052930821248235,1.1321828586576366,0.04255902892551982,3,1,-0.6697245625845437,-0.5378724238541429,-0.5031036300280429
2013-04-01,-0.02701215187021975,-0.9682454703035148,1.1321828586576366,0.02912967911064276,4,1,-0.5028670313377056,-0.09216783596582556,-0.4299763542172799
2013-05-01,-0.08779791732619999,-0.6475787972524377,1.1321828586576366,-0.2313997072979692,5,1,0.2655016002063761,0.8927408826958981,-0.4887869656658589
2013-06-01,-0.08779791732619999,1.6499450580146209,1.101343892477325,0.8402624079292056,6,1,2.9527318410890966,1.07833396030239,-0.1073601479772825
2013-07-01,0.5221319792377818,2.0340403037571195,1.0293863047232732,1.646023396821818,7,1,3.0268907438654686,1.2653330460725676,0.14402363508812335
2013-08-01,0.3867455016312811,1.072040284603888,0.916310095395482,0.7664009839473832,8,1,1.2213274582129552,1.1711304991056355,-0.08953449725181828
2013-09-01,-0.004217489824227338,-0.0273883087140907,0.8443525076414012,-0.5523611678735255,9,1,-0.03731391946381155,0.7226138948899474,-0.5155254417540553
2013-10-01,-0.17414133416708075,-0.35510260095310353,0.8032338860676617,-0.947184052430906,10,1,-0.40913841810645696,0.09975227837725124,-0.5280174332073335
2013-11-01,-0.17966731284489704,-0.9330073743638364,0.7723949198873497,-0.9606134022457832,11,1,-0.8077425205294593,-0.5603685544731117,-0.5422639178422518
2013-12-01,-0.17897656551017013,-1.2642454761968172,0.7621152644939221,-0.9619563372272706,12,1,-0.9756300365370802,-1.2422825138606008,-0.5351757653884256
2014-01-01,-0.17897656551017013,-1.4157692887374358,0.7621152644939221,-0.9619563372272706,1,2,-0.9478204479959408,-1.1290988566839146,-0.3515855988615964
2014-02-01,-0.17897656551017013,-1.6201502451875731,0.7621152644939221,-0.9619563372272706,2,2,-0.9735700670155144,-1.0953546607554614,-0.5494222500233438
2014-03-01,-0.17966731284489704,-0.21415021719438815,0.7621152644939221,-0.8316916440229651,3,2,0.4725285371237496,-0.3058810768460283,-0.5494222500233438
2014-04-01,-0.1927915122047108,0.3285164602766652,0.7621152644939221,-0.007129565389525211,4,2,1.0554999117269002,0.43930324990731023,-0.5262629400256933
2014-05-01,-0.21489542691597627,0.7619450403347148,0.7621152644939221,-0.05547522472308187,5,2,1.5880020330516855,0.6284113479230159,-0.1287649647932928
2014-06-01,-0.10092211668601372,1.3116593369937035,0.7209966429201533,0.9785847110224376,6,2,1.9546766078904168,1.0565408337652642,-0.10378098188673647
2014-07-01,-0.000763753150591812,0.7513736115528107,0.6798780213464137,0.307117220278594,7,2,1.3665553094833514,1.3279004093565745,-0.1216066326122008
